Simulation,Method,Area,Time
42,Antithetic Random Sampling,1.5253379999999999,0.23444509506225586
42,LHS,1.5253649999999999,1.2825958728790283
42,Antithetic Latin Sampling,1.520352,1.2629649639129639
42,Orthogonal Sampling,1.5224760000000002,0.49063992500305176
42,Antithetic Orthogonal Sampling,1.5223237417700144,0.21017909049987793
43,Random Sampling,1.5252120000000002,1.2489371299743652
43,Antithetic Random Sampling,1.5131160000000001,0.23159503936767578
43,LHS,1.5255,1.2891149520874023
43,Antithetic Latin Sampling,1.5236820000000002,1.2611019611358643
43,Orthogonal Sampling,1.5222240000000002,0.4984703063964844
43,Antithetic Orthogonal Sampling,1.5217835786407496,0.20964980125427246
44,Random Sampling,1.519029,1.2418558597564697
44,Antithetic Random Sampling,1.5171119999999998,0.23073601722717285
44,LHS,1.517823,1.2884621620178223
44,Antithetic Latin Sampling,1.5252660000000002,1.2818138599395752
44,Orthogonal Sampling,1.5217110000000003,0.5049028396606445
44,Antithetic Orthogonal Sampling,1.5216575405772543,0.21461200714111328
45,Random Sampling,1.521369,1.2554140090942383
45,Antithetic Random Sampling,1.526706,0.2353670597076416
45,LHS,1.525554,1.2928378582000732
45,Antithetic Latin Sampling,1.521414,1.261645793914795
45,Orthogonal Sampling,1.5219449999999999,0.5076260566711426
45,Antithetic Orthogonal Sampling,1.5224857907087939,0.20918822288513184
46,Random Sampling,1.5244469999999999,1.250436782836914
46,Antithetic Random Sampling,1.520082,0.23800992965698242
46,LHS,1.525122,1.2890419960021973
46,Antithetic Latin Sampling,1.527588,1.267531156539917
46,Orthogonal Sampling,1.52217,0.5232360363006592
46,Antithetic Orthogonal Sampling,1.5221256819559508,0.21207785606384277
47,Random Sampling,1.5260309999999997,1.2481741905212402
47,Antithetic Random Sampling,1.5181019999999998,0.23304104804992676
47,LHS,1.520802,1.2881948947906494
47,Antithetic Latin Sampling,1.522098,1.2589728832244873
47,Orthogonal Sampling,1.5213329999999998,0.5077528953552246
47,Antithetic Orthogonal Sampling,1.5225758178970048,0.2098369598388672
48,Random Sampling,1.5206220000000001,1.258810043334961
48,Antithetic Random Sampling,1.5269220000000001,0.233428955078125
48,LHS,1.517076,1.2967751026153564
48,Antithetic Latin Sampling,1.5227999999999997,1.2749519348144531
48,Orthogonal Sampling,1.521639,0.4985678195953369
48,Antithetic Orthogonal Sampling,1.5218736058289601,0.21095013618469238
49,Random Sampling,1.5239790000000002,1.2673249244689941
49,Antithetic Random Sampling,1.521648,0.2349231243133545
49,LHS,1.522647,1.290571928024292
49,Antithetic Latin Sampling,1.5213059999999998,1.2713370323181152
49,Orthogonal Sampling,1.521297,0.49704813957214355
49,Antithetic Orthogonal Sampling,1.5221616928312351,0.21433281898498535
50,Random Sampling,1.5183989999999998,1.2524442672729492
50,Antithetic Random Sampling,1.524672,0.23611211776733398
50,LHS,1.5158429999999998,1.2960331439971924
50,Antithetic Latin Sampling,1.519524,1.265157699584961
50,Orthogonal Sampling,1.5220259999999999,0.491635799407959
50,Antithetic Orthogonal Sampling,1.5217835786407496,0.21010088920593262
51,Random Sampling,1.5213419999999998,1.2551910877227783
51,Antithetic Random Sampling,1.523358,0.23455119132995605
51,LHS,1.523727,1.2888140678405762
51,Antithetic Latin Sampling,1.523736,1.2610528469085693
51,Orthogonal Sampling,1.521963,0.4943819046020508
51,Antithetic Orthogonal Sampling,1.5220356547677398,0.21187090873718262
52,Random Sampling,1.523745,1.2545239925384521
52,Antithetic Random Sampling,1.515114,0.23543119430541992
52,LHS,1.520397,1.2875409126281738
52,Antithetic Latin Sampling,1.523718,1.2605829238891602
52,Orthogonal Sampling,1.521693,0.4911348819732666
52,Antithetic Orthogonal Sampling,1.5221256819559508,0.20847606658935547
53,Random Sampling,1.52145,1.2492668628692627
53,Antithetic Random Sampling,1.5218820000000002,0.2345578670501709
53,LHS,1.521531,1.2914669513702393
53,Antithetic Latin Sampling,1.514322,1.2596337795257568
53,Orthogonal Sampling,1.521459,0.4962160587310791
53,Antithetic Orthogonal Sampling,1.521513497076117,0.21338796615600586
54,Random Sampling,1.5244110000000002,1.2515060901641846
54,Antithetic Random Sampling,1.530576,0.23891377449035645
54,LHS,1.5221879999999999,1.296375036239624
54,Antithetic Latin Sampling,1.522422,1.2832598686218262
54,Orthogonal Sampling,1.521927,0.5443902015686035
54,Antithetic Orthogonal Sampling,1.5219996438924555,0.21661615371704102
55,Random Sampling,1.520244,1.264220952987671
55,Antithetic Random Sampling,1.519524,0.23366999626159668
55,LHS,1.5248970000000002,1.291985034942627
55,Antithetic Latin Sampling,1.5156,1.2614479064941406
55,Orthogonal Sampling,1.521378,0.5259850025177002
55,Antithetic Orthogonal Sampling,1.5223957635205831,0.2144477367401123
56,Random Sampling,1.5219810000000003,1.2466778755187988
56,Antithetic Random Sampling,1.5168239999999997,0.23563289642333984
56,LHS,1.517751,1.3062241077423096
56,Antithetic Latin Sampling,1.52451,1.2888309955596924
56,Orthogonal Sampling,1.52217,0.5322580337524414
56,Antithetic Orthogonal Sampling,1.5227738777110689,0.21170592308044434
57,Random Sampling,1.5190469999999998,1.2601971626281738
57,Antithetic Random Sampling,1.519272,0.2400667667388916
